player_url,player,season_from,season_to,position,height,weight,birth_date,college,is_active,hall_of_fame
/players/a/abdelal01.html,Alaa Abdelnaby,1991,1995,F-C,6-10,240,June 24 1968,Duke,retired,no
/players/a/abdulza01.html,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,April 7 1946,Iowa State,retired,no
/players/a/abdulka01.html,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,April 16 1947,UCLA,retired,yes
/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,March 9 1969,LSU,retired,no
/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,6-6,223,November 3 1974,Michigan,retired,no
/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,6-9,225,December 11 1976,California,retired,no
/players/a/abernto01.html,Tom Abernethy,1977,1981,F,6-7,220,May 6 1954,Indiana,retired,no
/players/a/ablefo01.html,Forest Able,1957,1957,G,6-3,180,July 27 1932,Western Kentucky,retired,no
/players/a/abramjo01.html,John Abramovic,1947,1948,F,6-3,195,February 9 1919,Salem University,retired,no
/players/a/abrinal01.html,Álex Abrines,2017,2019,G-F,6-6,200,August 1 1993,,retired,no
/players/a/achiupr01.html,Precious Achiuwa,2021,2024,F,6-8,225,September 19 1999,Memphis,active,no
/players/a/ackeral01.html,Alex Acker,2006,2009,G,6-5,185,January 21 1983,Pepperdine,retired,no
/players/a/ackerdo01.html,Don Ackerman,1954,1954,G,6-0,183,September 4 1930,Long Island University,retired,no
/players/a/acresma01.html,Mark Acres,1988,1993,F-C,6-11,220,November 15 1962,Oral Roberts,retired,no
/players/a/actonbu01.html,Bud Acton,1968,1968,F,6-6,210,January 11 1942,Hillsdale College,retired,no
/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,6-7,240,October 6 1990,Baylor,retired,no
/players/a/adamsal01.html,Alvan Adams,1976,1988,C-F,6-9,210,July 19 1954,Oklahoma,retired,no
/players/a/adamsdo01.html,Don Adams,1971,1977,F,6-6,210,November 27 1947,Northwestern,retired,no
/players/a/adamsge01.html,George Adams,1973,1975,F-G,6-5,210,May 15 1949,Gardner-Webb University,retired,no
/players/a/adamsha01.html,Hassan Adams,2007,2009,G,6-4,220,June 20 1984,Arizona,retired,no
/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,6-0,225,May 4 1996,St. Bonaventure,retired,no
/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,6-5,209,July 8 1994,UCLA,retired,no
/players/a/adamsmi01.html,Michael Adams,1986,1996,G,5-10,162,January 19 1963,Boston College,retired,no
/players/a/adamsst01.html,Steven Adams,2014,2023,C,6-11,265,July 20 1993,Pitt,active,no
/players/a/addisra01.html,Rafael Addison,1987,1997,F-G,6-7,215,July 22 1964,Syracuse,retired,no
/players/a/adebaba01.html,Bam Adebayo,2018,2024,C-F,6-9,255,July 18 1997,Kentucky,active,no
/players/a/adelde01.html,Deng Adel,2019,2019,F,6-7,200,February 1 1997,Louisville,retired,no
/players/a/adelmri01.html,Rick Adelman,1969,1975,G,6-1,175,June 16 1946,Loyola Marymount,retired,yes
/players/a/adrieje01.html,Jeff Adrien,2011,2015,F,6-7,245,February 10 1986,UConn,retired,no
/players/a/afflaar01.html,Arron Afflalo,2008,2018,G-F,6-5,210,October 15 1985,UCLA,retired,no
/players/a/agbajoc01.html,Ochai Agbaji,2023,2024,G,6-5,215,April 20 2000,Kansas,active,no
/players/a/agerma01.html,Maurice Ager,2007,2011,G,6-5,202,February 9 1984,Michigan State,retired,no
/players/a/aguirma01.html,Mark Aguirre,1982,1994,F-G,6-6,232,December 10 1959,DePaul,retired,no
/players/a/ahearbl01.html,Blake Ahearn,2008,2012,G,6-2,190,May 27 1984,Missouri State,retired,no
/players/a/aingeda01.html,Danny Ainge,1982,1995,G,6-5,185,March 17 1959,BYU,retired,no
/players/a/aitchma01.html,Matt Aitch,1968,1968,F,6-7,230,September 21 1944,Moberly Area Community College,retired,no
/players/a/ajincal01.html,Alexis Ajinça,2009,2017,C-F,7-2,248,May 6 1988,,retired,no
/players/a/akinhe01.html,Henry Akin,1967,1969,C-F,6-10,225,July 31 1944,Morehead State University,retired,no
/players/a/akognjo01.html,Josh Akognon,2013,2013,G,5-11,185,February 10 1986,Washington State,retired,no
/players/a/akoonde01.html,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,June 5 1993,Illinois State,retired,no
/players/a/alabiso01.html,Solomon Alabi,2011,2012,C,7-1,251,March 21 1988,Florida State,retired,no
/players/a/alarima01.html,Mark Alarie,1987,1991,F,6-8,217,December 11 1963,Duke,retired,no
/players/a/alcorga01.html,Gary Alcorn,1960,1961,C,6-9,225,October 8 1936,Fresno State,retired,no
/players/a/aldamsa01.html,Santi Aldama,2022,2024,F,6-11,224,January 10 2001,Loyola (MD),active,no
/players/a/aldemfu01.html,Furkan Aldemir,2015,2015,F-C,6-10,240,August 9 1991,,retired,no
/players/a/aldrico01.html,Cole Aldrich,2011,2018,C,6-11,250,October 31 1988,Kansas,retired,no
/players/a/aldrila01.html,LaMarcus Aldridge,2007,2022,F-C,6-11,250,July 19 1985,Texas,retired,no
/players/a/aleksch01.html,Chuck Aleksinas,1985,1985,C,6-11,260,February 26 1959,Kentucky,retired,no
/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,6-8,245,November 16 1995,Kansas,retired,no
/players/a/alexaco01.html,Cory Alexander,1996,2005,G,6-1,185,June 22 1973,Virginia,retired,no
/players/a/alexaco02.html,Courtney Alexander,2001,2003,G,6-5,205,April 27 1977,Virginia,retired,no
/players/a/alexaga01.html,Gary Alexander,1994,1994,F,6-7,240,November 1 1969,South Florida,retired,no
/players/a/alexajo01.html,Joe Alexander,2009,2010,F,6-8,230,December 26 1986,West Virginia,retired,no
/players/a/alexaky01.html,Kyle Alexander,2020,2020,F,6-11,220,October 21 1996,Tennessee,retired,no
